episode_number,pitch_number,brand,idea,investment_amount_in_lakhs_inr_,debt_in_lakhs_inr,equity,anupam,ashneer,namita,aman,peyush,vineeta,ghazal,season,deal_status,domain
1,1,BluePine Industries,Frozen Momos,75,0,18.0,N,Y,N,Y,N,Y,N,1,Deal,Food & Beverage (F&B)
1,2,Booz scooters,Renting e-bike for mobility in private spaces,40,0,50.0,N,Y,N,N,N,Y,N,1,Deal,Home & Lifestyle
1,3,Heart up my Sleeves,Detachable Sleeves,25,0,30.0,Y,N,N,N,N,Y,N,1,Deal,Fashion & Apparel
2,4,Tagz Foods,Healthy Potato Chips,70,0,2.75,N,Y,N,N,N,N,N,1,Deal,Food & Beverage (F&B)
2,5,Head and Heart,Brain Development Course,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,"Tech, App & E-commerce"
2,6,Agro tourism,Tourism,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
3,7,Qzense Labs,Food Freshness Detector,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Food & Beverage (F&B)
3,8,Peeschute,Disposable Urine Bag,75,0,6.0,N,N,N,Y,N,N,N,1,Deal,Miscellaneous
3,9,NOCD,Energy Drink,20,30,15.0,N,N,N,N,N,Y,N,1,Deal,Miscellaneous
4,10,Cosiq,Intelligent Skincare,50,0,25.0,Y,N,N,N,N,Y,N,1,Deal,"Health, Wellness & Beauty"
4,11,JhaJi Achaar,Pickle,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
4,12,Bummer,Underwear,75,0,7.5,N,N,Y,Y,N,N,N,1,Deal,Miscellaneous
5,13,Revamp Moto,E-Bike,10,0,1.5,Y,N,N,Y,N,N,N,1,Deal,Home & Lifestyle
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
5,15,Shrawani Engineers,Belly Button Shaper,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
6,16,Skippi Pops,Ice-Pops,10,0,15.0,Y,Y,Y,Y,N,Y,N,1,Deal,Miscellaneous
6,17,Menstrupedia,Menstrual Awareness Comic,50,0,20.0,N,N,Y,N,N,N,N,1,Deal,Miscellaneous
6,18,Hecolll,Pollution Resistant Fabric,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
7,19,Raising Superstars,Child Development App,10,0,4.0,N,Y,N,Y,N,N,N,1,Deal,"Tech, App & E-commerce"
7,20,Torch-it,Gadgets for visually impaired people,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,"Tech, App & E-commerce"
7,21,La Kheer Deli,Kheer in variety of flavors,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
8,22,Beyond Snack,Kerala Banana Chips,50,0,2.5,N,Y,N,Y,N,N,N,1,Deal,Food & Beverage (F&B)
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,56,0,33.3,Y,N,N,N,Y,N,N,1,Deal,Miscellaneous
8,24,Motion Breeze,Smart Electric Motorcycle,30,0,6.0,N,Y,N,N,N,N,N,1,Deal,Miscellaneous
9,25,Altor,Smart Helmets,50,0,7.0,N,N,Y,Y,N,N,N,1,Deal,Miscellaneous
9,26,Ariro,Wooden Toys,50,0,10.0,N,N,N,Y,Y,N,N,1,Deal,Miscellaneous
9,27,Kabira Handmade,Healthy Oils,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,"Health, Wellness & Beauty"
10,28,Nuutjob,Male Intimate Hygiene,25,0,20.0,N,N,Y,Y,Y,N,N,1,Deal,Miscellaneous
10,29,Meatyour,Eggs,30,0,20.0,Y,N,N,Y,Y,N,N,1,Deal,Miscellaneous
10,30,EventBeep,Student Community App,30,0,3.0,N,Y,N,Y,Y,N,N,1,Deal,"Tech, App & E-commerce"
11,31,Gopal's 56,Fiber Ice Cream,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
11,32,ARRCOAT Surface Textures,Wall Building,50,0,15.0,Y,N,N,N,N,N,N,1,Deal,Miscellaneous
11,33,Farda,Customised Streetwear,30,0,20.0,N,N,Y,Y,N,N,N,1,Deal,Miscellaneous
12,34,Auli Lifestyle,Ayurvedic Products,75,0,5.0,N,N,Y,N,N,N,N,1,Deal,Miscellaneous
12,35,SweeDesi,Indian Sweets,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
12,36,LOKA,Metaverse App,40,0,24.0,Y,N,N,Y,Y,N,N,1,Deal,"Tech, App & E-commerce"
13,37,Annie,Braille Literary Device,10,0,3.0,Y,N,Y,N,Y,N,N,1,Deal,"Tech, App & E-commerce"
13,38,Caragreen,Eco-Friendly boxes,50,0,20.0,Y,N,N,N,Y,N,N,1,Deal,Miscellaneous
13,39,The Yarn Bazaar,Yarn-Trading App,10,0,10.0,Y,Y,N,Y,Y,N,N,1,Deal,"Tech, App & E-commerce"
14,40,The Renal Project,Home Dialysis Treatment,10,0,6.0,N,N,Y,Y,N,N,N,1,Deal,Home & Lifestyle
14,41,Morikko Pure Foods,Healthy Food Snacks,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Food & Beverage (F&B)
14,42,Good Good Piggy Bank,Digital Piggy Bank,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
15,43,Hammer Lifestyle,Smart Audio Products,10,0,40.0,N,N,N,Y,N,N,N,1,Deal,Miscellaneous
15,44,PNT,Robotics and Automation Solutions,25,25,25.0,N,N,N,N,Y,N,N,1,Deal,"Tech, App & E-commerce"
15,45,Cocofit,Coconut based beverage franchise,5,0,5.0,Y,N,Y,Y,N,N,N,1,Deal,Food & Beverage (F&B)
16,46,Bamboo India,Bamboo Products,50,30,3.5,Y,Y,N,N,N,N,N,1,Deal,Miscellaneous
16,47,Flying Furr,Dog Hygiene,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
16,48,Beyond Water,Liquid Water Enhancer,75,0,15.0,N,N,Y,Y,N,N,N,1,Deal,Miscellaneous
16,49,Let's Try,Healthy Snacks,45,0,12.0,Y,N,N,Y,N,N,N,1,Deal,Food & Beverage (F&B)
17,50,Find Your Kicks India,Sneaker Resale,50,0,25.0,Y,Y,Y,Y,Y,N,N,1,Deal,Miscellaneous
17,51,Aas Vidyalaya,EdTech App,15,0,15.0,N,Y,Y,N,Y,N,N,1,Deal,"Tech, App & E-commerce"
17,52,Outbox,Premium Surprise-Planning,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
17,53,RoadBounce,Pothole Detection Software and Data,80,0,20.0,N,N,N,N,Y,N,N,1,Deal,"Tech, App & E-commerce"
18,54,Mommy's Kitchen,Thin Crust Pizza,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
18,55,India Hemp and Co,Hemp Food Products,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Food & Beverage (F&B)
18,56,Otua,Electric Auto Vehicle,1,99,1.0,N,Y,N,N,N,N,N,1,Deal,Home & Lifestyle
18,57,Anthyesti,Funeral Service,0,0,0.0,N,N,N,N,N,N,N,1,No Deal,Miscellaneous
